monster_unique_id,monster_parent,monster_name,monster_origin,monster_type,monster_alignment,monster_ac,monster_hp,monster_speed,monster_str,monster_dex,monster_con,monster_int,monster_wis,monster_cha,monster_saving_throws,monster_damage_vulnerabilities,monster_damage_resistances,monster_damage_immunities,monster_condition_immunities,monster_senses,monster_languages,monster_skills,monster_challenge_rating,monster_unique_ability_paragraph_1,monster_unique_ability_paragraph_2,monster_unique_ability_paragraph_3,monster_unique_ability_paragraph_4,monster_unique_ability_paragraph_5,monster_unique_ability_paragraph_6,monster_unique_ability_paragraph_7,monster_action_paragraph_1,monster_action_paragraph_2,monster_action_paragraph_3,monster_action_paragraph_4,monster_action_paragraph_5,monster_action_paragraph_6,monster_action_paragraph_7,monster_legendary_action_paragraph_1,monster_legendary_action_paragraph_2,monster_legendary_action_paragraph_3,monster_legendary_action_paragraph_4,monster_legendary_action_paragraph_5,@image1,@image2
dndgpt_mon_0036,Devil,Erinyes,srd 5.1,"Medium fiend (devil), lawful evil",lawful evil,18 (plate),153 (18d8 + 72),"30 ft., fly 60 ft.",18 (+4),16 (+3),18 (+4),14 (+2),14 (+2),18 (+4),"Dex +7, Con +8, Wis +6, Cha +8",,"cold; bludgeoning, piercing, and slashing from nonmagical attacks that aren't silvered","fire, poison",poisoned,"truesight 120 ft., passive Perception 12","Infernal, telepathy 120 ft.",,"12 (8,400 XP)",Hellish Weapons. The erinyes's weapon attacks are magical and deal an extra 13 (3d8) poison damage on a hit (included in the attacks).,Magic Resistance. The erinyes has advantage on saving throws against spells and other magical effects.,,,,,,Multiattack. The erinyes makes three attacks.,"Longsword. Melee Weapon Attack: +8 to hit, reach 5 ft., one target. Hit: 8 (1d8 + 4) slashing damage, or 9 (1d10 + 4) slashing damage if used with two hands, plus 13 (3d8) poison damage.","Longbow. Ranged Weapon Attack: +7 to hit, range 150/600 ft., one target. Hit: 7 (1d8 + 3) piercing damage plus 13 (3d8) poison damage, and the target must succeed on a DC 14 Constitution saving throw or be poisoned. The poison lasts until it is removed by the lesser restoration spell or similar magic.",,,,,,,,,,,
dndgpt_mon_0037,Devil,Horned Devil,srd 5.1,"Large fiend (devil), lawful evil",lawful evil,18 (natural armor),178 (17d10 + 85),"20 ft., fly 60 ft.",22 (+6),17 (+3),21 (+5),12 (+1),16 (+3),17 (+3),"Str +10, Dex +7, Wis +7, Cha +7",,"cold; bludgeoning, piercing, and slashing from nonmagical attacks not made with silvered weapons","fire, poison",poisoned,"darkvision 120 ft., passive Perception 13","Infernal, telepathy 120 ft.",,"11 (7,200 XP)",Devil's Sight. Magical darkness doesn't impede the devil's darkvision.,Magic Resistance. The devil has advantage on saving throws against spells and other magical effects.,,,,,,"Multiattack. The devil makes three attacks: one with its bite, one with its claws, and one with its tail.","Bite. Melee Weapon Attack: +10 to hit, reach 5 ft., one target. Hit: 12 (2d6 + 5) piercing damage plus 10 (3d6) cold damage.","Claws. Melee Weapon Attack: +10 to hit, reach 5 ft., one target. Hit: 10 (2d4 + 5) slashing damage plus 10 (3d6) cold damage.","Tail. Melee Weapon Attack: +10 to hit, reach 10 ft., one target. Hit: 12 (2d6 + 5) bludgeoning damage plus 10 (3d6) cold damage.",,,,,,,,,,
dndgpt_mon_0038,Devil,Ice Devil,srd 5.1,"Large fiend (devil), lawful evil",lawful evil,18 (natural armor),180 (19d10 + 76),40 ft.,21 (+5),14 (+2),18 (+4),18 (+4),15 (+2),18 (+4),"Dex +7, Con +9, Wis +7, Cha +9",,"bludgeoning, piercing, and slashing from nonmagical attacks that aren't silvered","cold, fire, poison",poisoned,"blindsight 60 ft., darkvision 120 ft., passive Perception 12","Infernal, telepathy 120 ft.",,"14 (11,500 XP)",Devil's Sight. Magical darkness doesn't impede the devil's darkvision.,Magic Resistance. The devil has advantage on saving throws against spells and other magical effects.,,,,,,Multiattack. The devil makes two attacks: one with its beard and one with its glaive.,"Beard. Melee Weapon Attack: +5 to hit, reach 5 ft., one creature. Hit: 6 (1d8 + 2) piercing damage, and the target must succeed on a DC 12 Constitution saving throw or be poisoned for 1 minute. While poisoned in this way, the target can't regain hit points. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.","Glaive. Melee Weapon Attack: +5 to hit, reach 10 ft., one target. Hit: 8 (1d10 + 3) slashing damage. If the target is a creature other than an undead or a construct, it must succeed on a DC 12 Constitution saving throw or lose 5 (1d10) hit points at the start of each of its turns due to an infernal wound.",,,,,,,,,,,
dndgpt_mon_0039,Devil,Imp,srd 5.1,"Tiny fiend (devil, shapechanger)",lawful evil,13,10 (3d4 + 3),"20 ft., fly 40 ft.",6 (-2),17 (+3),13 (+1),11 (+0),12 (+1),14 (+2),"DEX +5, WIS +3",,"cold; bludgeoning, piercing, and slashing from nonmagical attacks that aren't silvered","fire, poison",poisoned,"darkvision 120 ft., passive Perception 11","Infernal, Common","Deception +4, Insight +3, Persuasion +4, Stealth +5",1 (200 XP),"Shapechanger. The imp can use its action to polymorph into a beast form that resembles a rat (speed 20 ft.), a raven (20 ft., fly 60 ft.), or a spider (20 ft., climb 20 ft.), or back into its true form. Its statistics are the same in each form, except for the speed changes noted. Any equipment it is wearing or carrying isn't transformed. It reverts to its true form if it dies.",Devil's Sight. Magical darkness doesn't impede the imp's darkvision.,Magic Resistance. The imp has advantage on saving throws against spells and other magical effects.,,,,,"Sting (Bite in Beast Form). Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 5 (1d4 + 3) piercing damage, and the target must make on a DC 11 Constitution saving throw, taking 10 (3d6) poison damage on a failed save, or half as much damage on a successful one.",Invisibility. The imp magically turns invisible until it attacks or until its concentration ends (as if concentrating on a spell). Any equipment the imp wears or carries is invisible with it.,,,,,,,,,,,,
dndgpt_mon_0040,Devil,Lemure,srd 5.1,Medium fiend (devil),lawful evil,7,13 (3d8),15 ft.,10 (+0),5 (-3),11 (+0),1 (-5),11 (+0),3 (-4),,,cold,"fire, poison","charmed, frightened, poisoned","darkvision 120 ft., passive Perception 10",understands Infernal but can't speak,,0 (10 XP),Devil's Sight. Magical darkness doesn't impede the lemure's darkvision.,Hellish Rejuvenation. A lemure that dies in the Nine Hells comes back to life with all its hit points in 1d10 days unless it is killed by a good-aligned creature with a bless spell cast on that creature or its remains are sprinkled with holy water.,,,,,,"Fist. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 2 (1d4) bludgeoning damage.",,,,,,,,,,,,,
dndgpt_mon_0041,Devil,Horned Devil,srd 5.1,Large fiend (devil),lawful evil,18 (natural armor),178 (17d10 + 85),"20 ft., fly 60 ft.",22 (+6),17 (+3),21 (+5),12 (+1),16 (+3),17 (+3),"Str +10, Dex +7, Wis +7, Cha +7",,"cold; bludgeoning, piercing, and slashing from nonmagical attacks not made with silvered weapons","fire, poison",poisoned,"darkvision 120 ft., passive Perception 13","Infernal, telepathy 120 ft.",,"11 (7,200 XP)",,,,,,,,Multiattack. The devil makes two attacks: one with its beard and one with its glaive.,"Beard. Melee Weapon Attack: +5 to hit, reach 5 ft., one creature. Hit: 6 (1d8 + 2) piercing damage, and the target must succeed on a DC 12 Constitution saving throw or be poisoned for 1 minute. While poisoned in this way, the target can't regain hit points. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.","Glaive. Melee Weapon Attack: +5 to hit, reach 10 ft., one target. Hit: 8 (1d10 + 3) slashing damage. If the target is a creature other than an undead or a construct, it must succeed on a DC 12 Constitution saving throw or lose 5 (1d10) hit points at the start of each of its turns due to an infernal wound.",,,,,,,,,,,
dndgpt_mon_0042,Devil,Pit Fiend,srd 5.1,Large fiend (devil),lawful evil,19 (natural armor),300 (24d10 + 168),"30 ft., fly 60 ft.",26 (+8),14 (+2),24 (+7),22 (+6),18 (+4),24 (+7),"Dex +8, Con +13, Wis +10",,"cold; bludgeoning, piercing, and slashing from nonmagical attacks that aren't silvered","fire, poison",poisoned,"truesight 120 ft., passive Perception 14","Infernal, telepathy 120 ft.",,"20 (25,000 XP)","Fear Aura. Any creature hostile to the pit fiend that starts its turn within 20 feet of the pit fiend must make a DC 21 Wisdom saving throw, unless the pit fiend is incapacitated. On a failed save, the creature is frightened until the start of its next turn. If a creature's saving throw is successful, the creature is immune to the pit fiend's Fear Aura for the next 24 hours.",Magic Resistance. The pit fiend has advantage on saving throws against spells and other magical effects.,Magic Weapons. The pit fiend's weapon attacks are magical.,"Innate Spellcasting. The pit fiend's spellcasting ability is Charisma (spell save DC 21). The pit fiend can innately cast the following spells, requiring no material components: At will: detect magic, fireball 3/day each: hold monster, wall of fire",,,,"Multiattack. The pit fiend makes four attacks: one with its bite, one with its claw, one with its mace, and one with its tail.","Bite. Melee Weapon Attack: +14 to hit, reach 5 ft., one target. Hit: 22 (4d6 + 8) piercing damage. The target must succeed on a DC 21 Constitution saving throw or become poisoned. While poisoned in this way, the target can't regain hit points, and it takes 21 (6d6) poison damage at the start of each of its turns. The poisoned target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.","Claw. Melee Weapon Attack: +14 to hit, reach 10 ft., one target. Hit: 17 (2d8 + 8) slashing damage.","Mace. Melee Weapon Attack: +14 to hit, reach 10 ft., one target. Hit: 24 (4d6 + 8) bludgeoning damage.","Tail. Melee Weapon Attack: +14 to hit, reach 10 ft., one target. Hit: 20 (3d10 + 8) bludgeoning damage.",,,"The pit fiend can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. The pit fiend regains spent legendary actions at the start of its turn.",Tail Attack. The pit fiend makes one tail attack.,Cast a Spell (Costs 2 Actions). The pit fiend casts a spell from its innate spellcasting trait.,,,,
dndgpt_mon_0043,Dinosaur,Plesiosaurus,srd 5.1,"Large beast, unaligned",,13 (natural armor),68 (8d10 + 24),"20 ft., swim 40 ft.",18 (+4),15 (+2),16 (+3),2 (-4),12 (+1),5 (-3),,,,,,passive Perception 13,-,"Perception +3, Stealth +4",2 (450 XP),Hold Breath. The plesiosaurus can hold its breath for 1 hour.,,,,,,,"Bite. Melee Weapon Attack: +6 to hit, reach 10 ft., one target. Hit: 14 (3d6 + 4) piercing damage.",,,,,,,,,,,,,
dndgpt_mon_0044,Dinosaur,Triceratops,srd 5.1,"Huge beast, unaligned",,13 (natural armor),95 (10d12 + 30),50 ft.,22 (+6),9 (-1),17 (+3),2 (-4),11 (+0),5 (-3),"STR +9, CON +6",,,,,passive Perception 10,-,,"5 (1,800 XP)","Trampling Charge. If the triceratops moves at least 20 feet straight toward a creature and then hits it with a gore attack on the same turn, that target must succeed on a DC 13 Strength saving throw or be knocked prone.","If the target is prone, the triceratops can make one stomp attack against it as a bonus action.",,,,,,"Gore. Melee Weapon Attack: +9 to hit, reach 5 ft., one target. Hit: 24 (4d8 + 6) piercing damage.","Stomp. Melee Weapon Attack: +9 to hit, reach 5 ft., one prone creature. Hit: 22 (3d10 + 6) bludgeoning damage.",,,,,,,,,,,,
dndgpt_mon_0045,Dinosaur,Tyrannosaurus Rex,srd 5.1,"Huge beast, unaligned",,13 (natural armor),136 (13d12 + 52),50 ft.,25 (+7),10 (+0),19 (+4),2 (-4),12 (+1),9 (-1),,,,,,passive Perception 14,-,Perception +4,"8 (3,900 XP)",,,,,,,,Multiattack. The tyrannosaurus makes two attacks: one with its bite and one with its tail. It can't make both attacks against the same target.,"Bite. Melee Weapon Attack: +10 to hit, reach 10 ft., one target. Hit: 33 (4d12 + 7) piercing damage. If the target is a Medium or smaller creature, it is grappled (escape DC 17). Until this grapple ends, the target is restrained, and the tyrannosaurus can't bite another target.","Tail. Melee Weapon Attack: +10 to hit, reach 10 ft., one target. Hit: 20 (3d8 + 7) bludgeoning damage.",,,,,,,,,,,
dndgpt_mon_0046,,Doppelganger,srd 5.1,Medium monstrosity (shapechanger),neutral,14,52 (8d8 + 16),30 ft.,11 (+0),18 (+4),14 (+2),11 (+0),12 (+1),14 (+2),"DEX +6, CHA +6",,,,charmed,"darkvision 60 ft., passive Perception 11",Common,"Deception +6, Insight +3",3 (700 XP),"Shapechanger. The doppelganger can use its action to polymorph into a Small or Medium humanoid it has seen, or back into its true form. Its statistics, other than its size, are the same in each form. Any equipment it is wearing or carrying isn't transformed. It reverts to its true form if it dies.","Ambusher. In the first round of a combat, the doppelganger has advantage on attack rolls against any creature it has surprised.","Surprise Attack. If the doppelganger surprises a creature and hits it with an attack during the first round of combat, the target takes an extra 10 (3d6) damage from the attack.",,,,,Multiattack. The doppelganger makes two melee attacks.,"Slam. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 7 (1d6 + 4) bludgeoning damage.","Read Thoughts. The doppelganger magically reads the surface thoughts of one creature within 60 feet of it. The effect can penetrate barriers, but 3 feet of wood or dirt, 2 feet of stone, 2 inches of metal, or a thin sheet of lead blocks it. While the target is in range, the doppelganger can continue reading its thoughts, as long as the doppelganger's concentration isn't broken (as if concentrating on a spell). While reading the target's mind, the doppelganger has advantage on Wisdom (Insight) and Charisma (Deception, Intimidation, and Persuasion) checks against the target.",,,,,,,,,,,
dndgpt_mon_0047,Dragon,Black Dragon Wyrmling,srd 5.1,"Medium dragon, chaotic evil",Chaotic Evil,17 (natural armor),33 (6d8 + 6),"30 ft., fly 60 ft., swim 30 ft.",15 (+2),14 (+2),13 (+1),10 (+0),11 (+0),13 (+1),"Dex +4, Con +3, Wis +2, Cha +3",,,acid,,"blindsight 10 ft., darkvision 60 ft., passive Perception 14",Draconic,"Perception +4, Stealth +4",2 (450 XP),Amphibious. The dragon can breathe air and water.,,,,,,,"Repulsion Breath. The dragon exhales repulsion energy in a 30-foot cone. Each creature in that area must succeed on a DC 15 Strength saving throw. On a failed save, the creature is pushed 40 feet away from the dragon.",,,,,,,,,,,,,
dndgpt_mon_0048,Dragon,Young Black Dragon,srd 5.1,Large dragon,chaotic evil,18 (natural armor),127 (15d10 + 45),"40 ft., fly 80 ft., swim 40 ft.",19 (+4),14 (+2),17 (+3),12 (+1),11 (+0),15 (+2),"Dex +5, Con +6, Wis +3, Cha +5",,,acid,,"blindsight 30 ft., darkvision 120 ft., passive Perception 16","Common, Draconic","Perception +6, Stealth +5","7 (2,900 XP)",Amphibious. The dragon can breathe air and water.,,,,,,,Multiattack. The dragon makes three attacks: one with its bite and two with its claws.,"Bite. Melee Weapon Attack: +10 to hit, reach 10 ft., one target. Hit: 17 (2d10 + 6) piercing damage plus 3 (1d6) acid damage.","Claw. Melee Weapon Attack: +10 to hit, reach 5 ft., one target. Hit: 13 (2d6 + 6) slashing damage.","Acid Breath (Recharge 5-6). The dragon exhales acid in a 30-foot cone. Each creature in that area must make a DC 17 Dexterity saving throw, taking 56 (16d6) acid damage on a failed save, or half as much damage on a successful one.",,,,"The dragon can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. The dragon regains spent legendary actions at the start of its turn.",Detect. The dragon makes a Wisdom (Perception) check.,Tail Attack. The dragon makes a tail attack.,Wing Attack (Costs 2 Actions). The dragon beats its wings. Each creature within 10 feet of the dragon must succeed on a DC 19 Dexterity saving throw or take 13 (2d6 + 6) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.,,,
dndgpt_mon_0049,Dragon,Adult Black Dragon,srd 5.1,Huge dragon,chaotic evil,19 (natural armor),195 (17d12 + 85),"40 ft., fly 80 ft., swim 40 ft.",23 (+6),14 (+2),21 (+5),14 (+2),13 (+1),17 (+3),"Dex +7, Con +10, Wis +6, Cha +8",,,acid,,"blindsight 60 ft., darkvision 120 ft., passive Perception 21","Common, Draconic","Perception +11, Stealth +7","14 (11,500 XP)",Amphibious. The dragon can breathe air and water.,"Legendary Resistance (3/Day). If the dragon fails a saving throw, it can choose to succeed instead.",,,,,,Multiattack. The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,"Bite. Melee Weapon Attack: +14 to hit, reach 10 ft., one target. Hit: 19 (2d10 + 8) piercing damage plus 7 (2d6) acid damage.",,,,,,,,,,,,
dndgpt_mon_0050,Dragon,Ancient Black Dragon,srd 5.1,Gargantuan dragon,chaotic evil,22 (natural armor),367 (21d20 + 147),"40 ft., fly 80 ft., swim 40 ft.",27 (+8),14 (+2),25 (+7),16 (+3),15 (+2),19 (+4),"Dex +9, Con +14, Wis +9, Cha +11",,,acid,,"blindsight 60 ft., darkvision 120 ft., passive Perception 26","Common, Draconic","Perception +16, Stealth +9","21 (33,000 XP)",Amphibious. The dragon can breathe air and water.,"Legendary Resistance (3/Day). If the dragon fails a saving throw, it can choose to succeed instead.",,,,,,Multiattack. The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,"Bite. Melee Weapon Attack: +15 to hit, reach 15 ft., one target. Hit: 24 (2d10 + 8) piercing damage plus 7 (2d6) acid damage.","Claw. Melee Weapon Attack: +15 to hit, reach 10 ft., one target. Hit: 18 (2d6 + 8) slashing damage.","Tail. Melee Weapon Attack: +15 to hit, reach 20 ft., one target. Hit: 22 (2d8 + 8) bludgeoning damage.","Frightful Presence. Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 19 Wisdom saving throw or be frightened for 1 minute. A frightened target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.",,,,,,,,,
dndgpt_mon_0051,Dragon,Blue Dragon Wyrmling,srd 5.1,"Medium dragon, lawful evil",lawful evil,17 (natural armor),52 (8d8 + 16),"30 ft., burrow 15 ft., fly 60 ft.",17 (+3),10 (+0),15 (+2),12 (+1),11 (+0),15 (+2),"Dex +2, Con +4, Wis +2, Cha +4",,,lightning,,"blindsight 10 ft., darkvision 60 ft., passive Perception 14",Draconic,"Perception +4, Stealth +2",3 (700 XP),"Paralyzing Breath. The dragon exhales paralyzing gas in a 30-foot cone. Each creature in that area must succeed on a DC 17 Constitution saving throw or be paralyzed for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.",,,,,,,,,,,,,,,,,,,,
dndgpt_mon_0052,Dragon,Young Blue Dragon,srd 5.1,"Large dragon, lawful evil",lawful evil,18 (natural armor),152 (16d10 + 64),"40 ft., burrow 20 ft., fly 80 ft.",21 (+5),10 (+0),19 (+4),14 (+2),13 (+1),17 (+3),"Dex +4, Con +8, Wis +5, Cha +7",,,lightning,,"blindsight 30 ft., darkvision 120 ft., passive Perception 19","Common, Draconic","Perception +9, Stealth +4","9 (5,000 XP)",Amphibious. The dragon can breathe air and water.,,,,,,,Multiattack. The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,"Bite. Melee Weapon Attack: +11 to hit, reach 10 ft., one target. Hit: 19 (2d10 + 8) piercing damage plus 9 (2d8) lightning damage.","Claw. Melee Weapon Attack: +11 to hit, reach 5 ft., one target. Hit: 15 (2d6 + 8) slashing damage.","Tail. Melee Weapon Attack: +11 to hit, reach 15 ft., one target. Hit: 17 (2d8 + 8) bludgeoning damage.",,,,"The dragon can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. The dragon regains spent legendary actions at the start of its turn.",Detect. The dragon makes a Wisdom (Perception) check.,Tail Attack. The dragon makes a tail attack.,Wing Attack (Costs 2 Actions). The dragon beats its wings. Each creature within 10 feet of the dragon must succeed on a DC 20 Dexterity saving throw or take 14 (2d6 + 7) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.,,,
dndgpt_mon_0053,Dragon,Adult Blue Dragon,srd 5.1,Huge dragon,lawful evil,19 (natural armor),225 (18d12 + 108),"40 ft., burrow 30 ft., fly 80 ft.",25 (+7),10 (+0),23 (+6),16 (+3),15 (+2),19 (+4),"Dex +5, Con +11, Wis +7, Cha +9",,,lightning,,"blindsight 60 ft., darkvision 120 ft., passive Perception 22","Common, Draconic","Perception +12, Stealth +5","16 (15,000 XP)","Legendary Resistance (3/Day). If the dragon fails a saving throw, it can choose to succeed instead.",,,,,,,Multiattack. The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,"Bite. Melee Weapon Attack: +14 to hit, reach 10 ft., one target. Hit: 19 (2d10 + 8) piercing damage plus 7 (2d6) lightning damage.","Claw. Melee Weapon Attack: +14 to hit, reach 5 ft., one target. Hit: 15 (2d6 + 8) slashing damage.","Tail. Melee Weapon Attack: +14 to hit, reach 15 ft., one target. Hit: 17 (2d8 + 8) bludgeoning damage.",,,,"The dragon can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. The dragon regains spent legendary actions at the start of its turn.",Detect. The dragon makes a Wisdom (Perception) check.,Tail Attack. The dragon makes a tail attack.,Wing Attack (Costs 2 Actions). The dragon beats its wings. Each creature within 15 feet of the dragon must succeed on a DC 24 Dexterity saving throw or take 16 (2d6 + 9) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.,,,
dndgpt_mon_0054,Dragon,Ancient Blue Dragon,srd 5.1,Gargantuan dragon,lawful evil,22 (natural armor),481 (26d20 + 208),"40 ft., burrow 40 ft., fly 80 ft.",29 (+9),10 (+0),27 (+8),18 (+4),17 (+3),21 (+5),"Dex +7, Con +15, Wis +10, Cha +12",,,lightning,,"blindsight 60 ft., darkvision 120 ft., passive Perception 27","Common, Draconic","Perception +17, Stealth +7","23 (50,000 XP)","Legendary Resistance (3/Day). If the dragon fails a saving throw, it can choose to succeed instead.",,,,,,,Multiattack. The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,"Bite. Melee Weapon Attack: +16 to hit, reach 15 ft., one target. Hit: 21 (2d10 + 10) piercing damage plus 9 (2d8) lightning damage.","Claw. Melee Weapon Attack: +16 to hit, reach 10 ft., one target. Hit: 17 (2d6 + 10) slashing damage.","Tail. Melee Weapon Attack: +16 to hit, reach 20 ft., one target. Hit: 19 (2d8 + 10) bludgeoning damage.",,,,,,,,,,
dndgpt_mon_0055,Dragon,Green Dragon Wyrmling,srd 5.1,"Medium dragon, lawful evil",lawful evil,17 (natural armor),38 (7d8 + 7),"30 ft., fly 60 ft., swim 30 ft.",15 (+2),12 (+1),13 (+1),14 (+2),11 (+0),13 (+1),"Dex +3, Con +3, Wis +2, Cha +3",,,poison,poisoned,"blindsight 10 ft., darkvision 60 ft., passive Perception 14",Draconic,"Perception +4, Stealth +3",2 (450 XP),Amphibious. The dragon can breathe air and water.,,,,,,,"Paralyzing Breath. The dragon exhales paralyzing gas in a 30-foot cone. Each creature in that area must succeed on a DC 17 Constitution saving throw or be paralyzed for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.",,,,,,,,,,,,,
dndgpt_mon_0056,Dragon,Young Green Dragon,srd 5.1,Large dragon,lawful evil,18 (natural armor),136 (16d10 + 48),"40 ft., fly 80 ft., swim 40 ft.",19 (+4),12 (+1),17 (+3),16 (+3),13 (+1),15 (+2),"Dex +4, Con +6, Wis +4, Cha +5",,,poison,poisoned,"blindsight 30 ft., darkvision 120 ft., passive Perception 17","Common, Draconic","Deception +5, Perception +7, Stealth +4","8 (3,900 XP)",Amphibious. The dragon can breathe air and water.,,,,,,,Multiattack. The dragon makes three attacks: one with its bite and two with its claws.,"Bite. Melee Weapon Attack: +7 to hit, reach 10 ft., one target. Hit: 15 (2d10 + 4) piercing damage plus 7 (2d6) poison damage.","Claw. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 11 (2d6 + 4) slashing damage.","Poison Breath (Recharge 5-6). The dragon exhales poisonous gas in a 30-foot cone. Each creature in that area must make a DC 14 Constitution saving throw, taking 42 (12d6) poison damage on a failed save, or half as much damage on a successful one.",,,,"The dragon can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. The dragon regains spent legendary actions at the start of its turn.",Detect. The dragon makes a Wisdom (Perception) check.,Tail Attack. The dragon makes a tail attack.,Wing Attack (Costs 2 Actions). The dragon beats its wings. Each creature within 10 feet of the dragon must succeed on a DC 19 Dexterity saving throw or take 13 (2d6 + 6) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.,,,
dndgpt_mon_0057,Dragon,Adult Green Dragon,srd 5.1,Huge dragon,lawful evil,19 (natural armor),207 (18d12 + 90),"40 ft., fly 80 ft., swim 40 ft.",23 (+6),12 (+1),21 (+5),18 (+4),15 (+2),17 (+3),"Dex +6, Con +10, Wis +7, Cha +8",,,poison,poisoned,"blindsight 60 ft., darkvision 120 ft., passive Perception 22","Common, Draconic","Deception +8, Insight +7, Perception +12, Persuasion +8, Stealth +6","15 (13,000 XP)",Amphibious. The dragon can breathe air and water.,"Legendary Resistance (3/Day). If the dragon fails a saving throw, it can choose to succeed instead.",,,,,,Multiattack. The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,"Bite. Melee Weapon Attack: +14 to hit, reach 10 ft., one target. Hit: 19 (2d10 + 8) piercing damage.","Claw. Melee Weapon Attack: +14 to hit, reach 5 ft., one target. Hit: 15 (2d6 + 8) slashing damage.","Tail. Melee Weapon Attack: +14 to hit, reach 15 ft., one target. Hit: 17 (2d8 + 8) bludgeoning damage.",,,,"The dragon can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. The dragon regains spent legendary actions at the start of its turn.",Detect. The dragon makes a Wisdom (Perception) check.,Tail Attack. The dragon makes a tail attack.,Wing Attack (Costs 2 Actions). The dragon beats its wings. Each creature within 15 feet of the dragon must succeed on a DC 23 Dexterity saving throw or take 15 (2d6 + 8) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.,,,
dndgpt_mon_0058,Dragon,Ancient Green Dragon,srd 5.1,Gargantuan dragon,lawful evil,21 (natural armor),385 (22d20 + 154),"40 ft., fly 80 ft., swim 40 ft.",27 (+8),12 (+1),25 (+7),20 (+5),17 (+3),19 (+4),"Dex +8, Con +14, Wis +10, Cha +11",,,poison,poisoned,"blindsight 60 ft., darkvision 120 ft., passive Perception 27","Common, Draconic","Deception +11, Insight +10, Perception +17, Persuasion +11, Stealth +8","22 (41,000 XP)",Amphibious. The dragon can breathe air and water.,"Legendary Resistance (3/Day). If the dragon fails a saving throw, it can choose to succeed instead.",,,,,,Multiattack. The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,"Bite. Melee Weapon Attack: +14 to hit, reach 10 ft., one target. Hit: 22 (2d10 + 8) piercing damage.","Claw. Melee Weapon Attack: +14 to hit, reach 5 ft., one target. Hit: 16 (2d6 + 8) slashing damage.","Tail. Melee Weapon Attack: +14 to hit, reach 15 ft., one target. Hit: 20 (2d8 + 8) bludgeoning damage.","Frightful Presence. Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 21 Wisdom saving throw or be frightened for 1 minute. A frightened target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.",,,"The dragon can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. The dragon regains spent legendary actions at the start of its turn.",Detect. The dragon makes a Wisdom (Perception) check.,Tail Attack. The dragon makes a tail attack.,Wing Attack (Costs 2 Actions). The dragon beats its wings. Each creature within 10 feet of the dragon must succeed on a DC 19 Dexterity saving throw or take 13 (2d6 + 6) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.,,,
